_input,_num,_widgetName,_source,_resultNumber,_pageUrl,adress,year
webpage/url:https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000|,1,Data Set: reformagkh ,Data Set: reformagkh ,1,https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000,none,6 557 ед.
webpage/url:https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000|,2,Data Set: reformagkh ,Data Set: reformagkh ,2,https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000,none,21 870 515.00 кв.м
webpage/url:https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000|,3,Data Set: reformagkh ,Data Set: reformagkh ,3,https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000,none,602 672 чел.
webpage/url:https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000|,4,Data Set: reformagkh ,Data Set: reformagkh ,4,https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000,г. Саратов п. Воробьевка д. 10,1903
webpage/url:https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000|,5,Data Set: reformagkh ,Data Set: reformagkh ,5,https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000,г. Саратов п. Воробьевка д. 12,1903
webpage/url:https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000|,6,Data Set: reformagkh ,Data Set: reformagkh ,6,https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000,г. Саратов п. Воробьевка д. 14,1959
webpage/url:https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000|,290,Data Set: reformagkh ,Data Set: reformagkh ,290,https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000,г. Саратов ул. Артиллерийская д. 11а,н.д.
webpage/url:https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000|,291,Data Set: reformagkh ,Data Set: reformagkh ,291,https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000,г. Саратов ул. Артиллерийская д. 11 (дубль X),н.д.
webpage/url:https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000|,292,Data Set: reformagkh ,Data Set: reformagkh ,292,https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000,г. Саратов ул. Артиллерийская д. 12,1980
webpage/url:https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000|,293,Data Set: reformagkh ,Data Set: reformagkh ,293,https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000,г. Саратов ул. Артиллерийская д. 12 (дубль 1),1980
webpage/url:https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000|,294,Data Set: reformagkh ,Data Set: reformagkh ,294,https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000,г. Саратов ул. Артиллерийская д. 12 (дубль X),н.д.
webpage/url:https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000|,295,Data Set: reformagkh ,Data Set: reformagkh ,295,https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000,г. Саратов ул. Артиллерийская д. 13,1965
webpage/url:https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000|,7,Data Set: reformagkh ,Data Set: reformagkh ,7,https://www.reformagkh.ru/myhouse?tid=2315095&sort=name&order=asc&page=1&limit=100000,г. Саратов п. Воробьевка д. 17,1903
